tipo_elem;distrito;id;cod_cent;nombre;st_x;st_y;longitud;latitud
M-30;0.0;7131;PM40752;PM40752;444530.31996990205;4474556.78106642;-3.6538538292773546;40.41979055384981
M-30;0.0;3827;PM40753;PM40753;443631.81267114705;4474840.22434022;-3.664469518728379;40.42228358415193
M-30;0.0;6781;PM32051;PM32051;437404.581961033;4476520.00854064;-3.738036187841022;40.43697056008704
M-30;0.0;6782;PM32351;PM32351;436942.46756279;4478782.98783293;-3.7437090287801436;40.45732134607815
M-30;0.0;6936;PM41802;PM41802;437038.16287407104;4473527.98262187;-3.7420598798382763;40.40998958079009
M-30;0.0;3496;PM32352;PM32352;436952.692102875;4478789.02116571;-3.743589048026939;40.4573764720739
M-30;0.0;6783;PM33031;PM33031;440759.32124903897;4483420.02844429;-3.6991290164743518;40.49937443967043
M-30;0.0;6784;PM33032;PM33032;440766.92598640005;4483417.25959299;-3.699039016573761;40.49935003975731
M-30;0.0;6785;PM33151;PM33151;442035.756596347;4481561.29793131;-3.6838961791999685;40.48272040923277
M-30;0.0;6786;PM33152;PM33152;442027.528998206;4481563.03948952;-3.683993405926766;40.482735523473416
M-30;0.0;6787;PM33201;PM33201;444174.766802089;4481778.73533492;-3.658679639427006;40.48482575629613
M-30;0.0;6788;PM33202;PM33202;444172.675269963;4481769.541279099;-3.658703506091448;40.484742791472996
M-30;0.0;6932;PM33221;PM33221;443107.57818231103;4481909.51042405;-3.6712822796139544;40.48593138989696
M-30;0.0;3837;PM30461;PM30461;444425.26092141296;4477663.76059837;-3.655363834142212;40.44777287857465
M-30;0.0;3539;PM30462;PM30462;444218.054791074;4477471.73148409;-3.6577902897648675;40.44602910445548
M-30;0.0;3536;PM30471;PM30471;444242.13418744295;4477198.40201249;-3.6574823659234763;40.443568427411684
M-30;0.0;6819;PM30472;PM30472;444228.689955946;4477295.59358584;-3.657649420244976;40.444443077439274
M-30;0.0;10203;PM40952;PM40952;445006.93710348604;4472679.40398156;-3.648073738225917;40.40290968140844
M-30;0.0;3495;PM30752;PM30752;444576.77164371;4474515.40724967;-3.6533027042469652;40.419420930467794
M-30;0.0;3561;PM30753;PM30753;444575.25422837294;4474507.38805217;-3.653319890878509;40.41934858797068
