tipo_elem;distrito;id;cod_cent;nombre;st_x;st_y;longitud;latitud
PUNTOS DE MEDIDA M-30;0.0;1044;None;03FT08PM01;438963.314634858;4474734.4416665;-3.719487777115184;40.42100128418019
PUNTOS DE MEDIDA M-30;0.0;3600;None;PM30901;443729.047369186;4473268.24999887;-3.663184333515405;40.40812895669773
PUNTOS DE MEDIDA M-30;0.0;3705;None;PM41451;439858.261097366;4471574.21949934;-3.708640455872043;40.39259766136568
PUNTOS DE MEDIDA M-30;0.0;6823;None;PM41453;439188.095183064;4470895.03379762;-3.7164714881891556;40.386430565624316
PUNTOS DE MEDIDA URBANOS;0.0;7033;None;PÃÂº Castellana S-N - Pl. Colon-Hermosilla;441569.555897254;4475502.42536523;-3.6888386702249583;40.428106749588785
PUNTOS DE MEDIDA URBANOS;0.0;3864;None;Dr. Esquedo N-S - Samaria-Av. Nazaret (De Frente);443278.122806687;4473978.40115568;-3.6685616971474766;40.414495783828
PUNTOS DE MEDIDA URBANOS;0.0;4237;None;Moratines O-E - Martin Vargas-Embajadores;440515.953264391;4472994.94936248;-3.7010242692749604;40.4054435414404
PUNTOS DE MEDIDA URBANOS;0.0;5597;None;Alfonso XIII O-E - Paraguay-Ricardo Calvo;443241.345233115;4479255.480069901;-3.6694665418570724;40.462031856276774
PUNTOS DE MEDIDA URBANOS;0.0;5586;None;Acceso M-30 N-E(Superficie) - M-30 Norte-Pl.JosÃÂ© MÃÂªSoler;443529.43086947204;4479255.34573733;-3.666068787087204;40.46205027534423
PUNTOS DE MEDIDA URBANOS;0.0;5967;None;Pl. Alsacia - Malmoe-Hermanos GarcÃÂ­a Noblejas;447211.60621357296;4474435.59451684;-3.622239679097713;40.418873245763244
PUNTOS DE MEDIDA URBANOS;0.0;5993;None;Pl. Alsacia - Fuente Carrantona-Malmoe;447195.526932339;4474459.56198714;-3.6224311918446555;40.41908813934331
PUNTOS DE MEDIDA URBANOS;0.0;6371;None;C/. Salvador de Madariaga - Esteban Mora-Verdaguer y GarcÃÂ­a;444384.173429622;4476887.6611661;-3.6557803757906053;40.44077862526625
PUNTOS DE MEDIDA URBANOS;0.0;6375;None;Av. Badajoz - AristÃÂ³teles-Torrelaguna;444747.10937247204;4477347.86053692;-3.651541195801504;40.4449485397088
PUNTOS DE MEDIDA URBANOS;0.0;6398;None;Av. Canillejas a VicÃÂ¡lvaro - Pobladura del Valle-Julia Garcia Boutan;448273.625378504;4475649.97776022;-3.609820669003473;40.42987986618084
PUNTOS DE MEDIDA URBANOS;0.0;6419;None;Av. Canillejas a VicÃÂ¡lvaro a Suecia - Aquitania-Av. Guadalajara;448252.45607866;4474919.65496518;-3.6100107844368137;40.4232993452687
PUNTOS DE MEDIDA URBANOS;0.0;3810;None;AV. Daroca 106 O-E - Fco. Largo Caballeroo-Fuente Carranton;446846.191685541;4474386.88330761;-3.6265426645114864;40.418411164951834
PUNTOS DE MEDIDA URBANOS;0.0;5315;None;RAFAEL FINAT N-S(GRAL.SALIQUET-AVIACION);434477.249234805;4469854.10050399;-3.77186192769339;40.37669625635011
PUNTOS DE MEDIDA URBANOS;0.0;6511;None;C/. San Romualdo - Albasanz-AlcalÃÂ¡  ;447288.98841201;4477072.110776401;-3.621546228855264;40.44262946945292
PUNTOS DE MEDIDA URBANOS;0.0;5061;None;OCA N-S(MATILDE FERNANDEZ-GRAL.RICARDOS);438065.301302051;4471311.4632127;-3.7297394626238773;40.39009924183512
PUNTOS DE MEDIDA URBANOS;0.0;5119;None;LAGUNA S-N(MU?OZ GRANDES-N.SRA.FATIMA);437123.64183544397;4471244.47118359;-3.740826987384819;40.38942520273389
PUNTOS DE MEDIDA URBANOS;0.0;3771;None;POBLADOS E-O(GUARE?A-PADRE PIQUER);435069.7440341871;4471481.07022769;-3.7650486995615444;40.39139902010591
PUNTOS DE MEDIDA URBANOS;0.0;5238;None;AV.CARABANCHEL ALTO S-N(M-40-AV.PESETA);436092.20032378;4468294.8381552;-3.752682991094691;40.36277512992024
PUNTOS DE MEDIDA URBANOS;0.0;5265;None;P.SAN JOSE S-N(PARQUE GARAJONAI-JACOBEO);435490.12181079603;4468700.70981403;-3.7598145214732828;40.36638503621123
PUNTOS DE MEDIDA URBANOS;0.0;5280;None;GRAL RICARDOS  O-E;439190.235530835;4472235.57350915;-3.716574272221057;40.39850695264572
PUNTOS DE MEDIDA URBANOS;0.0;5385;None;R. PINTO SO-NE(LAG DALGA-LAG MARQUESADO);439511.427869559;4465109.03812031;-3.7121136724125963;40.334330716737604
PUNTOS DE MEDIDA URBANOS;0.0;5015;None;CARAMUEL S-N(AV.CAPRICHOS-PABLO SARASATE;438180.588428318;4473225.57066985;-3.72856706553247;40.40735094809545
