idelem;tipo_elem;identif;nombre;st_x;st_y
4018;PUNTOS DE MEDIDA URBANOS;9001;Lateral M-30 N-S - Salida Puente Ventas-Pl. Toros;444.046.807.276.126;447.616.121.434.151
4043;PUNTOS DE MEDIDA URBANOS;9029;Principe de Vergara S-N - Jorge Juan-Goya;442.406.416.065.004;447.522.083.314.491
7041;PUNTOS DE MEDIDA URBANOS;13025;Pº del Prado N-S - Zorrilla-Plaza de las Cortes;441.211.322.592.818;447.451.022.480.966
4400;PUNTOS DE MEDIDA URBANOS;18009;Carranza O-E - San Bernardo -Fuencarral;440.343.386.653.338;44.758.589.526.259
4387;PUNTOS DE MEDIDA URBANOS;18010;Conde Duque, 13 S-N - Sta Cruz de Marcenado-Alberto Aguilera;439.936.781.169.851;447.582.511.094.702
4388;PUNTOS DE MEDIDA URBANOS;18011;Alberto Aguilera E-O - Vallehermoso-Galileo;439.895.524.161.599;447.593.836.932.317
4385;PUNTOS DE MEDIDA URBANOS;18007;Alberto Aguilera O-E - Princesa-Serrano Jover;439.415.464.454.646;447.599.667.213.234
4386;PUNTOS DE MEDIDA URBANOS;18008; Alberto Aguilera O-E - Conde Duque-Acuerdo;44.006.937.734.256;447.590.413.050.442
4680;PUNTOS DE MEDIDA URBANOS;35047;Puente de la Paz E-O - Av.Donostiarra-Av.Brasilia;444.137.815.184.885;447.711.057.855.599
4687;PUNTOS DE MEDIDA URBANOS;35057;Poeta Claudio Rodriguez S-N  - Clara del Rey-Corazón de Maria;443.163.758.814.779;4.477.106.123.215
7077;PUNTOS DE MEDIDA URBANOS;35058;Camilo José Cela, 4  S-N - Azcona-Eraso;443.521.904.850.891;447.656.417.281.913
4685;PUNTOS DE MEDIDA URBANOS;35054; Av.Toreros O-N - Colomer-Francisco Altimiras(Giro);443.809.002.206.901;447.629.282.172.075
4686;PUNTOS DE MEDIDA URBANOS;35056; Mejico E-O - Eduardo Vicente-Cartagena;443.107.368.425.662;447.681.206.003.334
9991;PUNTOS DE MEDIDA URBANOS;62001;Capitan  Haya, 55  - Rosario Pino -Estebanez Calderon;441.469.320.826.229;447.955.190.241.619
5978;PUNTOS DE MEDIDA URBANOS;45033;C/. Hermanos García Noblejas - Castillo de Arévalo-Castropol;446.590.422.766.994;447.568.934.568.106
5979;PUNTOS DE MEDIDA URBANOS;45034;C/. Hermanos García Noblejas - Castillo de Uclés-Castillo de Arévalo;446.688.817.801.725;447.551.220.215.691
6071;PUNTOS DE MEDIDA URBANOS;47010;C/. Arturo Soria - Briviesca-Caleruega;443.577.391.328.265;448.151.537.650.209
6148;PUNTOS DE MEDIDA URBANOS;53018;C/. Emilio Ferrari - Vital Aza-Esteban Collantes;445.695.755.926.504;447.607.118.760.315
6265;PUNTOS DE MEDIDA URBANOS;55054;Av. de los Andes - Mahonia-Mitra;447.660.980.346.048;447.885.821.827.165
6309;PUNTOS DE MEDIDA URBANOS;56029;C/. Mar Adriático - Chiquinquira-Ayacucho;445.922.225.843.256;44.804.363.219.074
6374;PUNTOS DE MEDIDA URBANOS;59020;Av. Badajoz - Martínez Villergas-Torrelaguna;444.635.587.149.862;447.724.635.409.388
3786;PUNTOS DE MEDIDA URBANOS;59022;Av. Badajoz - Torrelaguna-Martínez Villergas;444.655.616.920.307;447.727.126.256.347
6376;PUNTOS DE MEDIDA URBANOS;59023;Av. Badajoz - Martínez Villergas-Salvador de Madariaga;444.490.094.824.713;447.713.566.773.448
6377;PUNTOS DE MEDIDA URBANOS;59024;C/. Salvador de Madariaga - Av. Badajoz-Verdaguer y García;444.383.674.107.609;447.705.546.998.757
6406;PUNTOS DE MEDIDA URBANOS;64021;María Sevilla Odiago - Niza-Av. Canillejas a Vicálvaro;44.829.865.340.652;447.618.117.768.675
6468;PUNTOS DE MEDIDA URBANOS;66002;Av. Arcentales - Av. Arcentales-Pl. Grecia;448.760.641.219.247;447.638.948.169.045
3698;PUNTOS DE MEDIDA URBANOS;71021;C/. Miguel Yuste - Gta. Arcentales-Emilio Muñóz;447.353.187.367.056;447.629.054.740.173
5207;PUNTOS DE MEDIDA URBANOS;82007;C/. Monte de Barbanza - Travesia Gavia Seca-Real Arganda;447.556.390.508.885;447.018.214.269.754
5222;PUNTOS DE MEDIDA URBANOS;82403;Cno. Pozo Tio Raimundo - Cno. Pozo Tio Raimundo E-O(Antes Gr. 1);444.846.290.216.083;446.965.242.860.925
4787;PUNTOS DE MEDIDA URBANOS;25021;ANTONIO LOPEZ S-N(S.ZACARIAS-MATI.GAYO);440.578.330.046.561;447.148.203.593.237
5120;PUNTOS DE MEDIDA URBANOS;51021;MUÑOZ GRANDES O-E(B.TORRIJOS-CASTROJERIZ;437.195.552.030.183;447.108.875.582.129
4507;PUNTOS DE MEDIDA URBANOS;31014;FRANCOS RODRIGUEZ O-E(POLICIA-STO ANGEL DE LA GUARDA);439.531.480.709.062;447.906.551.613.234
7114;PUNTOS DE MEDIDA URBANOS;31018;Lope de Haro E-O (Giro Izqda)(Berruguete-Francos Rodriguez);440.394.744.325.815;447.889.438.746.231
4532;PUNTOS DE MEDIDA URBANOS;31054;VILLAAMIL N-S(CAMINO CHORRILLO-SAN RESTITUTO);439.901.731.309.707;447.984.053.879.873
4549;PUNTOS DE MEDIDA URBANOS;32007;AV. BETANZOS S-N(RIBADAVIA-CHANTADA);439.737.552.933.366;44.806.494.276.322
4550;PUNTOS DE MEDIDA URBANOS;32008;CHANTADA E-O(RIBADAVIA-AV. BETANZOS);439.822.919.313.205;448.070.456.809.012
4555;PUNTOS DE MEDIDA URBANOS;32013;AV. BETANZOS N-S(AV. MONFORTE DE LEMOS-LA BAQEZA);439.750.249.445.418;448.121.061.126.942
