tipo_elem;distrito;id;cod_cent;nombre;utm_x;utm_y;longitud;latitud
URB;15.0;10123;46053;C/ Marques de Portugalete - General Aranaz - Arturo Soria;445.249.152.709.537;447.746.374.293.101;-3.64563143240174;40.4460256853502
URB;15.0;10121;46054;C/ Arturo Soria - Emilio Vargas - Hernandez de Tejada;444.850.174.726.033;447.770.395.789.655;-3.6503568218878;40.4481632963713
URB;15.0;10126;46055;C/Arturo Soria - Fernandez Caro - Marques de Pico Velasco;445.310.087.166.687;447.729.460.640.192;-3.64489836299698;40.4445060235912
URB;15.0;10129;46056;C/Arturo Soria - Manuel Maria Iglesias-Duque de Tamames;444.630.609.285.601;447.808.841.403.833;-3.65297941955248;40.4516120796663
URB;15.0;10438;46057;Torrelaguna - Acc. M30 - Rafael Bergamin;444.024.668.210.132;447.808.736.040.817;-3.66012483189027;40.451562003251
URB;15.0;10128;46058;C/ Arturo Soria - Goitia - Marques de Pico Velasco;445.481.930.816.419;447.718.812.190.599;-3.64286298072009;40.4435580397075
URB;15.0;10127;46059;C/ Arturo Soria - Marques de Pico Velasco - Natalia Silva;445.354.709.897.735;447.727.953.868.577;-3.64437091124018;40.4443732195769
URB;15.0;10168;46060;C/ Arturo Soria - Emilio Rubin - Emeterio CastaÃ±os;443.810.566.939.584;447.915.021.137.364;-3.66274367264502;40.461122236065
URB;15.0;10298;46062;C/. Arturo Soria - AsunciÃ³n PÃ©rez-Ãngel Gordillo;443.634.555.880.673;4.479.335.764.148;-3.66483603686329;40.462781862369
URB;15.0;10440;46063;Torrelaguna - CidamÃ³n - Sorzano;444.164.272.959.524;447.795.429.050.935;-3.65846685609508;40.4503726323502
URB;15.0;10439;46064;Sorzano - San Nemesio - Torrelaguna;444.186.285.537.713;447.806.858.836.456;-3.65821732585658;40.4514037632646
URB;15.0;10437;46065;Torrelaguna - Acc. M30 - JosÃ© Silva;44.399.293.452.068;447.819.308.085.333;-3.66050837321323;40.4525122479469
URB;15.0;10436;46066;JosÃ© Silva - Torrelaguna - San Nemesio;444.037.710.384.306;447.835.846.203.857;-3.65999492782998;40.454005099644
URB;15.0;10435;46067;JosÃ© Silva - Arturo Soria - Agastia;444.228.330.874.615;447.848.936.366.403;-3.65775847258109;40.4551971398088
URB;15.0;6048;46403;C/ UlÃ­ses - UlÃ­ses-Arturo Soria;444.367.047.268.176;447.858.029.532.992;-3.65613055319115;40.4560255948118
URB;15.0;6050;46405;C/. Arturo Soria - Giro a Torrecilla del Puerto;444.720.194.092.452;447.793.650.376.746;-3.65190977300536;40.4502495565559
URB;15.0;6051;46406;C/. RamÃ­rez de Arellano - Agastia-Arturo Soria;444.712.254.314.614;44.779.042.935.229;-3.6520005959788;40.4499588620134
URB;15.0;6052;46407;C/. Amara - Amara-Arturo Soria;44.500.346.884.961;447.747.533.195.839;-3.64852940663254;40.446113869219
URB;15.0;6053;46408;C/. Angelita Cavero - Angelita Cavero-Arturo Soria;445.066.142.813.969;447.749.125.597.815;-3.64779176560305;40.4462614648833
URB;15.0;6054;46409;C/. MarquÃ©s de Portugalete - General Aranaz-Arturo Soria;445.207.901.215.766;447.739.694.987.351;-3.64611208590636;40.4454212601882
URB;15.0;6055;46410;C/. FernÃ¡ndez Caro - Agastia-Arturo Soria;445.262.389.625.167;447.729.639.944.078;-3.64546092863607;40.4445190373416
URB;15.0;6056;46411;C/. Arturo Soria - FernÃ¡ndez Caro-MarÃ­a Portugalete;445.270.758.395.892;447.732.224.372.235;-3.64536447756453;40.4447524074146
URB;15.0;6057;46412;C/. MarquÃ©s de Pico Velasco 53 - Misterios-Arturo Soria;445.363.027.034.435;447.723.257.773.325;-3.64426880312094;40.4439507166338
URB;15.0;6058;46413;C/. LÃ³pez de Aranda - Gral Aranaz-Arturo Soria;445.691.065.877.891;447.698.694.748.485;-3.64037986193754;40.441759437215
